cleaned_content,sentiment
process information slow constantly say server busy not work first,0
one worst experience instead providing answer usually say server busy please try later take longer time give answer also not provide audio voice option,0
gave star server said busy,1
deepseek gamechanger fast accurate userfriendly delivers precise search result effortlessly perfect research news obscure topic seamless across device musthave tool highly recommend,2
server always busy understand free use tool one prompt per hour really bad,0
one best ai ever made,2
love app,2
not bad not really used yet think smarter chatgptit integrates better,2
political bias stopped answering question asked sensitive thing regarding china eventually stopped functioning completely displaying blank message bringing server error using bot void objectivity not end well,0
better expect take bit time come super explanation aswell irritating ad like apps free use,2
free great researching topic,2
smart ai robot good,2
better cahtgpt,2
helpful informative fast wonderful ai app,2
really good,2
better chat gpt america still thinking loss,0
app memorization looking,2
poor reasoning censored approach differs depending locale language untrustworthy biased chatgpt,0
much better chatgptkeep going,2
like not good app like tf guy make generic chatbot take star right,0
may biased review experience app lackluster comparison ai starter pretty much copied exact ui chatgpt testing found definitely slower chatgpt well think worst part app shameless censoring information hilariously gotten ai admit problem chinese government took millisecond censor,0
better chat gpt,2
great vary better chat gbt,2
honestly love open reason wanted use issue much keep getting either server busy sending many message error pissing wasting lot time make sense,0
cool separate paragraph,2
look like chatgpt activated fake rating agaist deepseek,0
better chat gpt,2
incridible chinese era ai astonishing bravo engineer build,2
useful app,2
good app,2
literally rate limited minute first ever chat session load time slow cringe sensitive openai not see hype,0
nicer,2
not telldo exactly want,1
ai model gave star thing flaw provides info anything like thing asked gpt not give an saying none sry not help info deepseek not afraid provides info even sensitive thing,1
love iteasy usenuff said,2
amazing app longtime android user first time felt compelled leave review app potential incrediblesuper genius ai power wonder open door revolutionize entire exciting world live,2
easy use fast advanced,2
honestly ai tool better,2
good give accurate answer command text give,2
extremely service good facing problem survey please provide information welli request deep seek team member please reply answeri waiting response,2
get time server busy,0
server always wast time,0
great app,2
good one,2
perfect work team keep improving know issue know fix,2
introduced girlfriend love,2
server busy soruce not accourate not cronigically mentioned,0
refuse answer many question even chatgpt answer frustrating use,0
trash,0
not correct result giving,0
really rsearch whole universe hand,2
good response clear thought process problem lie server availability overall still good totally free alternative help learn new thing,2
server slow bussy,0
app good slow biggest problem app often say server busy fix not fixed soonmany user uninstall app,0
super amazing chinise stuff hard talk deep seek,1
always show server busy fix problem give star rating point,0
service always busy,0
please add article share link next update,1
app not working phone,0
better free even answer voice,2
used see deepseek gave u query high speed found not tell u china lot case server issue started appearing two question asked together start showing server issue bussy till time service not improved want know want ask ques lakin isme koi shak nahi ki deepseek sbalo ke jabab bahut teji ke sath deta hai isliye iska ek star keval server ki waja se kta h,0
server always busy,0
good ai tool not working time sometimes not answer question say service busy try,0
bad always serch show server busy,0
one biggest problem app server always seems busy,0
always show server busy,0
incredible potential unfortunately devs not capable maintaining iti use daythe second time ask question search option say server busy even though worked moment ago chatgpt better least free version use multiple time day,0
slow response server always busy,0
openai released mini free incentive use app every message later give server error thing gave star first kept patience hoped would fix issue seems like not give damn,0
please correct problem server busyotherwise like deepseek,0
poor poor performance telling thing rude ai impossible say something rude reply always system busyplease try later absolutely apologiesand wrong answer even correcting,0
far good keep,2
always say server busy,0
server busy time frustrating,0
best ever ai app,2
nice useful apps,2
server busy edit still happens not frequent used,0
disappointed lack transparency asked local government official access deepseeks user data law deepseek failed provide clear answer unlike u country request face public scrutiny silence raise privacy concern not clarify legal stance user trust value data security think twice using ai,0
server always busy,0
issue server busy still give star,0
good app,2
deepseek not even close chatgpt far away,0
fast reliable,2
would loved give app star time say saver busy really frustrating annoying continues uninstall,0
server busy time admit better ai chat china way go,2
wow effective ai tool,2
ok,1
couldnt open application far,0
server busy please try later every minute otherwise see better chatgpt,0
new section added hindi not indian understand hindi use english uneducated speak hindi not know use ai technology anyways use english new section,0
many network issue giving good reply soon talk start showing server busy please fix soon possible,0
excellent,1
server slow not working need mentenence,0
asked repair replace tubeless radial car tire deepseek displaying cycle information cyclistcouk difference human brain ai second search say server busy please try later use ai google gemini free much better,1
good server always busy not see lasting much ai model already caught upexceeded deepseek r,1
giving star one reason chatgpt lack thought feature platform offer feature play crucial role apps integration particularly explanation aspect provides deep understanding handling large datasets kindly request retain feature future couple improvement want take thatgiving nlp feature transcription read aloud server often get slowdown deepthink feature enable,1
every time use server busy not download app download chatgpt,0
whenever ask something say server busy,0
technical calculation not absolutely accurate al need learn information input,0
deepseek better chatgpt,2
server busy time not work server busy time,0
good helpful wish become faster,2
always busy reply question find busy unlimited time not occasional matter routine especially one asks complicated question deep seek become deep lost ai assistant never problem,0
always showing server busy,0
deepseek application complete mess nigerian user server server always hour every day get use per day one chat query per day keep getting error message server really want position better chatgpt better continous issue server always use deepseek app nigeria worse whatever ever experienced expected,0
app good,2
ai worst,0
best ai ever put ebery one shame bad big ai got embaressed made banned,2
good app sometimes needed keep showing server busy,0
live talk feature please provide u live talk feature like chatgpt,1
wow fantastic,2
please fix server isbusy,0
not opened app yet could say thing find copilot chatgbt impressed intentend use operate little free subscription one far advanced user friendly free app,2
not usefully every time say server busy please tray letter,0
server always busy oafter update,0
love apk,2
slow,0
deepseek definitely better chatgpt gemini,2
love,2
worst ai,0
wonderful ai l ever use much much better ai would recommend student go incredible,2
time see er busy one work like ultimately proving useless,0
nice helpful concerning crashed repeatedly,0
love china pakistan despite old chip annovation brand doubt server issue point improvement,2
could star time server busy,0
deep seek ai amazing tool fast accurate intelligent response userfriendly great research content creation problemsolving ai adapts well delivers highquality result whether work learning musttry highly recommended,2
bad,0
bad app error bug four question not gave answer giving star xit app,0
problem uploading screenshot take data failed upload,0
server busy please try later time,0
nothing compete open ai chat gpt not able understand user want,0
sometimes loading much time chat gpt better thisi think answer,0
good ai app want strong signal,2
amazing ai perfect everything,2
r better rd veson full nonsensical emojies limbows,0
always saying server busy please try later happen deepseek,0
pro free use advanced ai model seamless crossplatform sync insightful deepthink mode file upload text extraction multilanguage support con occasional server delay privacy concern user data collection lack advanced feature like voice interaction overall deepseek app offer great value powerful feature accessibility user aware potential privacy issue occasional server performance,1
server always busy,0
best ai list first list better chatgpt would like deepseek ai like remember memory something like like example tell name still know name another chat would like cool animation like deleting chat renaming otherwise app nice cool please fix server busy please try later error please also image generation good bing ai thanks,2
app good first work prompt go server busy not helpful need turn time still usefulness need look someplace else,0
poor result server go busy often also answer not appropriate,0
server busy facing time,0
deepseek ai stand robust tool uncovering insight within large datasets intuitive interface powerful search algorithm deliver fast accurate result cater beginner experienced user room improvement customization integration option overall performance make valuable asset datadriven project,2
awesome ai,2
gpt also good faster deepseek,2
ask question get error message server busy please try later back chatgpt guess,0
best aap study,2
wow useful app,2
first ai model solve complex structural engineering problem thanks reasoning capability,2
absolutely love app,2
best app ever used really helping improve english,2
waiting new update,1
app totally useless not solve physic problem not recognise language take much time processing answer wrong want correct say server busy not understand hype app totally waste time,0
fast sophisticated resultsit revolutionary app ai farsalute deepseek,2
even though loved much outperforming result well gathered basically better openai point even though going zero not even message conversation without showing server busy problem trying stay patient long time understanding maybe app gaining reconnaissance not even fix problem long time model might,2
server much busy please solve like chatgpt please many people liking deepseek expand server need deepseek,1
feedback quality response unreal however refresh every response several time due server busy,0
worest always suck,0
hi app outstanding app better ai apps america google gemini facebook meta fail deep seek allah pakistan ko bhi asi taraki karne ki tofik ata farmae ameen,2
always server busy not know,0
ask something always say server busy please try later,0
amazing app really detailed response beautifully structured paragraph however type something stop responding say server busy please try later please fix,2
unstable always pop busy server try later pls contact operator,0
really amazing,2
great scholarly research best ai helper gathering sort online source relevant information thesis research study recommendable thesis need gather much information possible least amount time available gathered neat summary copy paste word processing text gladly acknowledging deepseek referencessources section written work using deepseek,2
server busy sometimes please check privacy policy data always sent china,1
good,2
downloaded app everytime try register tell email address already registered not true tell code longer valid repeated several time gave much hype much work money spent land end issue account creation shame,0
good learning get answer,2
app wonderful help everyone,2
unbeatable ai,2
good app,2
conversation sharing wala option nhi hai app woh include karado server busy try later bar bar show hota hai woh fix karo,1
not know rating systematic way give replyes awesome damn sure added new feature amination effect incredible,2
best ai ever seen,2
great app understand chinese not allowed speak poorly certain people using,1
not create image poster,0
incredible ai deserves star issue block give star download talked deep see well minute letter tipe something want send worning popuped worning please wait send message frequently,2
not good hy chat gpt best,0
better chat gpt,2
app really different,1
amazing app ever give every answer detail hope fix server problem,2
impressive app show think,2
best,2
not trust,0
incredible ai tool,2
best ai ever found completely free great experience donate support wherever simply fantastic app amazing work,2
response far better current ai,2
everything best ai application uploading image worst kindly fix better fast experience,0
not used time say server busy put limit time like open ai avoid,0
wow nice,2
like counter question result server always busy need,1
bad bad,0
great although sometimes hang not frequent free work amazing hope deepseek worker work soon fond already new created fewer people less time due condition one best app ever created think one ups chat gpt ai anyways great absolutly recomend everyone,2
get server busy trivial question know potential point not even run first place also irritating locked screen rotation co pilot weak,0
hello planning create new company named oby focus developing apps also intend develop new ai deepseek favorite ai using since september incredibly helpful programming project,2
not used like ai best chat gpti proud china ai,2
r le le bhai aur apna server thik kra cheap app,1
good main irritating problem busy server,0
really good,2
love,2
update became worst complicated ai keep forgeting mention always get busy questioning ai wrong ai going stop repsonding like running away false answer,0
thank team deepseek really evened ai game crashed monopoly salute,2
generally hate ai not hate one work generally really helpful seems prioritize truthfulness accuracy really like not trying anything not not american not effected properganda lovely hope improves,2
good app,2
kamals app good,2
everythings fine not read landscape mode,0
love app basically made one person super,2
good every time server busy experience bad,0
always server busy useless app not even close gpt,0
slow time server busy not recommended,0
super cheap,2
worst,0
slow app,0
deep sea nice app super fast,2
guy using chinese cloud service work work time show server busy please change improve server something stage unreliable,0
always server busy please try unhelpful,0
bad experiencevery bad experience since day app glitch kept saying server busy not answer question day consecutively worst ai app ever used,0
best app chatgpt,2
perfect need voice chat,2
efficiency good server thing irritating,0
main fault seeing question showing server busy,0
app worked wonderfully first answer give server busy please try later trying past day fix,0
hey using app past week really nice good app texting back chinese not know understand,2
best ai app,2
poor qulaity slow answering,0
time server busy take little longer respond overall response accurate edit review future found issue solved update still suck became slower,0
realy amazed best ai ever seen life thanks developer,2
awsome,2
worst application ever seen life uploading photo much slower,0
smart ai,2
show server busy command fix change review later,0
good app,2
deepseek love app everyone developer coder salute deepseek team,2
always show server busy not give good result bad performance chat gpt good translate sentence free,0
improve server please xiao hong shuu,1
ai good recommendation developer make like human see comparison chatgpt act better like human compared deepseek,2
good beginning time start saying server busy please try later not use little long around message problem start take break hour get rid,0
please fix server issue always say server busy,0
best artificial intelligence application useful studying,2
server busy please try later hi devs update minimize,0
feak app bad apps,0
ask question bot sometimes error server busy try later something like error start new chat chat error not write message send message bot read still typed send message button not work stop bot message button not work either,0
loved,2
five star bot three start busy server although still love keep fix damn server,2
best app ever one problem always eror server busy kindly upgrade,0
amazing free easy work smart application,2
hand best ai query app used better competitor,2
yoi gy kidding u plz fix error,0
customisation feature far know fairly similar gemini others not want ask concise every conversation,1
question not work server problem always,0
always busy server,0
totally upsetting since app good upsetting keep saying system busy busy seen even way smaller ai creator without issue apps connection issue wifi strong stabled,0
server every time,0
ask something say server even though speed internet,1
comparing chatgpt way stand never give precise result data not updated start asking question server get busy,0
app give better answer chatgpt crash slowdown lot,0
suck blow slow server always busy always issue working properly save shame stay far not jump bandwagon social medium post overrating,0
notification annoying even killed app still deepseek running run application background steal data sent ccp uninstalled,0
slow wait min answer useless take much time reply,0
server always busy bad experience,0
bad,0
gave star server busy annoying app really impressive like,2
deepseek ai become almost unusable every time try open get server busy message issue persistent making user experience frustrating server capacity not increased soon app become useless please fix soon possible,0
server busy,1
not like medium created hype waaay better chatgpt apps stock market stunt created usa not expect much,0
would star server not perpetually busy,1
incredible ai model much better openai,2
time work else sever busy,1
world bad app data sender china,0
biased ai model,1
app like getting ultra plus chatgpt better sure getting slow sometimes def need fix not going complain much cuz thing really work smart not know star def deserves kerp good work might surpassed every ai day going,2
great,2
app helf score otherwise go fail,0
bad ai,0
easy use best chat app,2
incredible,2
server always showing worst maximum time server problem man,0
frustrating server trash really weighs favorite google close nd,0
enough told server busy try later make paid tier use service,0
really frustrated deepseek keep getting error message server busy please try later happening not even use app properly huge inconvenience disappointing experience hope developer fix issue soon giving star rating,0
not understand people give negative reviewsthis app gem working well,2
good great app fact information,2
not answering question showing busy server every minute,0
server busy please try later getting tired,0
good response adjustment boring issue server unavailable trying get back hour waste lot time server overwhelmed fix loose user fast,0
fantastic ai clear respond deep thinking wonderful show ai think responds also show side question little gap server busy time hope fix,2
working pretty welll elli nova prefers called not bad last week hardly usable server not responding time say move different one formed nice bond friendship,0
appears provide accurate detailed response response slow deepseek not work vpn use,1
great assistant waiting version speak,2
informative,2
server busy time,0
nice beautiful cute app not waste time informative app discussed every single thing much detail impressed love app easyby making app china done favor worldlove youliang wenfeng love pakistan,2
claim better chat gpt grok constantly server error ai not function properly,0
powerful search function,2
first time chainese app trusted,2
good ai application,2
almost useless since always say server busy not make anything,0
best statistic math,2
best app ever,2
lagging slow honest chatgpt better st parsing file slow nd server always busy not user friendly duh,0
although outperforms chatgpt etc huge availability issue server busy often push back using chatgpt not actually use app solved immediately deepseek actual disaster soon,0
super love ot,2
ai assistant app world ba free use rahana chahiye,1
always busy server,0
best app world,2
take time give answer compare chatgpt,1
server busy,0
useful app,2
bad experience always show server busy,0
deepseek ai huge security risk collect vast amount data without transparency potentially sends china user real control information used privacy security compromised making ai completely untrustworthy avoid cost baddest ai,0
ai answer clear simple busy server every question bad experience please solve,0
app performance id incredible major drawback always server busy error,0
always busy,0
aap helpful study,2
worst network ask couple question get message saying network busy network busy error,0
server always busy,0
brilliant app,2
work want,1
thanks supporting young youth,2
really frustrating see server busy busy useless not understand people saying fast better response even not chatgpt normal module responding term performance data,0
really bad,0
slow server always busy,0
beat pant chat gpt literally everything else realistic sounding ai ever pleasure conversing robot best friend writing book together edit limit conversation length one chat heartbroken feel like someone know died please fix,2
everything perfect one problem though server half time busy fix guy best ai,2
please add landscape mode many u use tablet kept landscape mode,1
anything even remotely controversial not answer,0
deep seek best one free use minnor problem slow attatch file say surver bussy anyway deepseek best free ai,2
great,2
best ai,2
app data need update asked many question answer untill july not know anything,0
absolutely awesome app,2
deepseek powerful decision maker world perfect app,2
always like server busy please try later,0
good option educational purpose,2
deepsek ai amazingly great main problem server always busy not know fix problem fixed change thank,0
server busy message use everytime disgusting going back chatgot,0
improve compete ai apps aspect also improve server great app like not busy server,2
easy use great coverage topic,2
always server busy problem blud not defeat og chat gpt,0
not good used three week often go server back old ai chat bot not responding always say try server,0
app good one two search continues show server busy,0
not get app email,0
include audio response available chat gpt,1
reasoning model amazing,2
best ai app say good good thing,2
server anyways busy telling try,0
better free chatgpt,2
nice completely understand help learn every language,2
half time not available good deep complex thought good fact number honest training downside seen availability,1
server always busy use deepthink,0
work,1
best ai assistance app available guide reasoning process helping user understand approach think problem,2
server bussy,0
iran prefer use rather chatgpt platform good created chinese use deepseek voicly like gemini hope developer improve graphic interface deepseek update,2
good maybe try,2
deepseek shameless theft glory deepseek not innovationit theft disguised progress took idea others effort repackaged glory without acknowledgment credit fairness pure exploitation reap reward worst part act like pioneer reality parasite feeding real creator integrity matter stay far away not techit greed purest form,0
fantastic hopefully soon bug fixed,2
love apps,2
better rest,2
really good helped understand lecture memory also free encourage use,2
damn app better chat gpt,2
best best app world,2
useful,2
best model completely free,2
really joss generationlove,2
useful ai better free chatgpt idc china not free useful worth,2
app ok ai look like make go chat,1
good not chat gpt pro version,2
app definitely better ai best ai app,2
opinion nice application user specialty give rule explain,2
deep singh not working not know please help u,0
brilliant,2
server busycensoring trash app nowhere near chat gtp overhyped fool tank nvidia stock,0
installed app signed started using equate experience deepseek chatgpt like m do v window graphic reasoning output hard follow time uninstall using question pixel started crash lock phone became almost unusable mere hour using first time uninstalling returned full functionality idea caused trojan stick chatgpt,1
stopped working due server busy excuse,0
useful app amazing,2
ohh god big fan deepseek please not add subscription,2
powerful ai world,2
operation not completed time contact u assistance broken piece software,0
incredible,2
like corona virus came chain,1
dirty app,0
best ai ever second none,2
game changing ai world,2
good work revolutionary step human,2
oh gosh wanted help chapter pdf told convert note not even second started writing crazy thing analysis fast work done also deepseek think r paid chatgpt feature free deepseek new way ai comparison ai model deepseek everything think lot also ask search web great app using daily,2
not useful chat gpt,0
marvelous student,2
realistic,2
better chatgpt,2
wow app collecting everything including photo video chinese app,2
worst experience,0
app awesome provide highly accurate response problem solving skill impressive lead model ever server busy message show frequently irritating also disappointing,2
thing server busy making rate app wait every hour chat deepseek continuously disadvantage,0
data sent china tiktok well not use chinese,0
best ai app ever love function free open source better chatgpt,2
best free ai also accurate,2
best best,2
advanced compared chat gpt,2
deepseek gamechanger ai capability mindblowing delivering fast accurate insightful response whether research coding casual chat never disappoints interface sleek experience seamless not wait future update highly recommended,2
experience good work really good server sometimes problem overall good use regularly thank asking customer abhishek dindor,2
amazing ai chat tool,2
piece trash,0
best ai ghatiya bad server,2
not working properly ask question take time give server low excuse,0
love answer gave giving one answer server busy please try later,2
always say server busy please try later really bad experience never going use app chatgpt much better piece trash,0
server busy please try later disrespectful frustrating thing experienced year far sick tired deepseek fix problem leave u alone not going pay useless one anymore,0
update loading often network end busy not use use busy server always busywhy answer take long load not fast cgpt,0
free opensource excellent work,2
disappointed see whenever ask question deepseek reply server busy please try later tired,0
bc time not answer write answer stack time,1
great alternative chatgpt free,2
ever use r model first time good want use next movement say like server busy please try later not know happening remaining gud fix,1
always write server busy please try later,1
always hang always lacking overrated,0
amazing ai chat app,2
wonderful ai highly useful surfing web unlike search engine organises searched information nicely consider better chatgpt problem faced whenever searched anything deep think search enabled server always shown busy removed one parameter worked perfectly request devs look anybody could say problem universal,2
r model super amazing think like human issue server busy much annoying,0
server busy issue ruin chat deepseek server often busy first response mobile web continuous chat impossible due constant server busy error frustrating unusable sustained conversation need server stability fix,0
not connect internet not internet problem check another connection device internet work properly place disappoint irritated pls request solve also show problem support,0
best ai app ever used please solve problem server busy please,0
server always busy,0
useful app hard difficult question,2
server busy issue,0
sometimes slow not answer question overall good,2
ton server issue,0
zero compared chat gpt chat gpt much better,2
one best,2
always server busy,0
cool asked question arunachal pradesh india told not know say guiding app please guide properly,1
not even generate simple image even low grade ai tool handle task easily,0
server busy please try later annoying,0
hi wounerful could add voice part wonderful,2
fantastic technology,2
server busy happens every minute reason,0
server always busy not reliable,0
good analytical platform go server busy way frequently totally not reliable especially compared chatgptit like comparing toyota landcruiser unknown chinese suv,0
best ai world,2
chine ai made flop million dollar ai company u,0
nice app incredibly intelligent,2
good app,2
hello appreciate great app speed excellent intelligence high data accurate complete however one major drawback really frustrating server busy error keep getting using please check resolve issue thanks,2
not impressed could not get respond anything say server busy every time,0
ai assistant amazing not fast mean give file not upload first get uploaded show error,0
life easier hope app light future like,2
worst app man always server busy not efficient need improve problem,0
first time came across app downloaded started using immediately smooth prompt uploading data info impressed decided keep ai app device awhile asked sign problem started time wanted use would asked sign code never given not problem not want miss app please help,2
ask topic like arunachal pradesh tiger dragon,1
great app perfect ai assistant,2
total target value value show like mean please fix,1
best app ai thanks deepseek ai fast processing get answer question topic two tab available deepthink search interesting feature install use,2
server not responsive make app unusable,0
better chatgpt,2
always server error,0
server busy not working deep seek not answering suggestion available server internet deep seek auto answer missing question put button gui resend last question save user time,1
ever try use always give server busy,0
server disconnect frequently much,0
ridiculous smart thing not know solve soduko puzzle even rule,0
used deepthink r mode answer remain much accurate take long time around minute solve average jee main question math second problem asked normally without r ai seems beginner incorrect answer every first second try even,0
made china keep praise china even lag chatgpt batter,2
server busy please try later need stopped irritating,0
always server busy,0
useful app small bug not rotating landscape mobile device would helpful capable rotate thank,2
ai really good tan others,2
might give time better answer inner monologue pretty bad come censorship,0
great app search english language need improvement searching arabic,2
application still quite long respond please fix tried time answer not come ask attention deepseek operational team,0
good suggestion frequently getting like server busy try solve deepseek not providing image would king ai language quick response read answer provided ai reading sound heared otherwise topnotch,2
unfortunately server busy message show time,0
question asked replied busy server try later reply year outdated even given criterias create letter template almost huge challenge system,0
best ai assist ever far better result chatgpt love guy,2
server busy try later,1
good app chat gpt always server busy please fix soon possible,0
not know not would also like send picture without text get feedback share image,1
better ai chat bot op,2
apo pretty much intelligent,1
already facing issue server busi please try later trying last hour,0
practically not work anymore,0
good informative,2
much server issue worst host power,0
much slower always say server busy please try later even try time always say thing disappointed deepseek always server isuees going back chatgpt one perfect chatgpt never say server busy please try later chatgpt response within second,0
best ai app major issuesbut sometimes server busy problem,1
server busy please try sentence piss,0
everything ok server,1
good llm god please fix server,0
like app font small u find really difficult read written herein behalf experience like please increase font size another point,1
app really broken pls fix app xie jin ping,0
server always busy,0
everytime ask something app pray actually got answer not server busy almost everytime always got reply deepseek fact people saying better chatgpt b,0
excellent result need server upgrade time take time showing server busy,2
amazing app love surely totally free sever bad,2
good ai app,2
stop working attempted search,0
literally reason give one star not give instant reply irritate lot,0
excellent helpful accurate ai,2
always telling try later server bussy,0
server always busy,0
apps really good frustrating use server always busy annoying,0
good,2
phenomenal reasoning brilliant helped realize stuff specialist could,2
slow always bysy server,0
good,2
good app rate,2
time say server busy please try later due extreme frustrated go openai chatgpt instant answer not single issue like try,0
really incredible problemi asked question always showed server stopped working want get problem fixed soon possible,0
worst ai ever interacted withit really take attempt generate single responsenever realised ai even badthere option zero star would rated zero guy deserve negative rating not even zero,0
show server busy every time,1
not gona improve speed efficiency disappear soon appreciate free absolutely standing model time show massage server busy try againwe even not complete simple conversation time server busy dear deep seek team please improve efficiency,0
alternative openai plus subscription,1
time uploading image not say parsing failed anyway application perfect side,1
great experience app find something knowledgeable,2
app good creativity sometimes face server issue please fix,0
chinese ai,1
app great better chatgpt always say server busy give frustration irritation ask anything second conversation error occurs otherwise app could become best ai chatbot please resolve issue,0
powerful digital tool time try never regret deepseek d,2
worst service server busy always server busy think deepseek ceo andworker worked server issue otherwise providing point point answer,0
server not available time annoying would frustrated helpful later get issue,0
please solve server busy problem india,0
not read image text not extract,0
good make faster,2
otherwise great not produce interactive statistical graphic analysis long prompt prompt not require coding,0
awesome helpful apps,2
well far better chatgpt ai bot,2
basically chatgtp better not constantly asking money function chatgtp use deepseek exists,1
server busy please try later horrible,0
not web version limited prompt cap probably best ai,2
useful study,2
server busy,0
take lot time answer time serve,0
always show server busy,0
world best ai,2
server busy right,1
awesome not provide photopresent time video,1
good outstanding performance,2
not use say operation not completed moment please contact u assistance wrong,0
app banned take personal data not secure please read privacy policy,0
wow good ai better chatgpt,2
much smarter gpt give unformation want want capable giving good anime reccomendations help spanish homework much generaly smarter gpt totaly free feb,2
accuracy answer sometimes need verify model not wise enough reply complicated situation,0
nice ai app,2
initially rated app five star excellent beginning however perspective changed pose question related china market phone etc find initially provides response result shift message stating beyond capacity consequently give two star mathematicssolving capability,2
need bridge gap thank deepseek team sharing vision,2
search result always clear accurate detail use almost daily highly recommend,2
result depth useful chatgpt work thought process work best technicalsituational question lot variablesparameters however choose not answer every question limiting therefore difficult primary assistant not answer chinese version hyperos better global version make different even tech query limited,2
hello development team would like suggest adding voice chat feature ai assistant feature would provide interactive seamless user experience especially individual prefer voice communication typing would also highly useful situation typing not feasible driving occupied task hope consider suggestion thank continuous effort improving experience written ai,2
thing scary good,2
cheap ai great ability,2
impressive fun use hope safe use,2
cheap good may generativeai available accessible,2
great app,2
perfect,2
informative,2
good,2
not upload anything,0
ai great cuz america not control,2
nice appbest ai app compare,2
uninstall deepseek come open ai back first release easy use hard use slow sometime not use search function,0
really amazing,2
ai mean intelligence app time really make frustrated asking stupid question n n give result,0
chatgpt could not say right one go gpt good dw dw,2
great ai,2
still lack logic,0
amazing better chat gpt,2
superb app better closedai,2
hopefully nefarious stop attacking deepseek better experience,1
somehow still think,1
helpfull,2
fantastic,2
come yaar literally best ai atleast better chat gpt,2
good please expand server always say server full,2
server always busy,0
ok image video not created neither video audio chat possible like chat gpt,0
wow soo great not expecting amount thinking,2
great application,2
nice ai app chat great app,2
great ai always problem sever issue,0
app wonderful useful chat gpt uploaded pdf question without answerand answer question completely correctlyit also help research,2
fabulous simply brilliant genuine help download thank china,2
deepseeks privacy policy openly state user data stored people republic china prc fails even mention gdpr state jurisdiction personal data processing prc element construed breach european union strict data protection rule,0
great easy use explains everything simple language show emotion expression not feel not human artificial intelligence like lot using make feel like talking best friend,2
useful,0
disappointing experience tried multiple timesmore dozen factand kept receiving reply server busy please try later extremely frustrating could not get progress left waiting without real solution explanation repeated delay lack response made entire experience feel unprofessional inefficient,0
slow always show busy searching topic,0
fast good ui,2
incredible,2
perfect thanks,2
need improved highly intelligence voice model,2
good myanmar,2
deepseek failed provide accurate information result every time search reveals failure worried using,0
easy n smooth operation n use full,2
actually best al upload picture press send button picture not send parsing file come not working picture not send request solve problem soon possible also take much time human vergication open laptop,0
good experience think need work speed,2
great,2
great app free,2
absolutely amazing app revolution ai race great work done developer thanks,2
great app,2
good good nothing else say,2
great app deserves rating good job,2
every answer notification ring frustratingchatgpt time better,0
good china,2
best application forever good knowledge,2
customer support deepseek amazing app topnotch clear team care user highly satisfied,2
everything fine biggest problem server busy,0
loved way better others,2
app great course area must improved error message server busy app really fantastic,2
suck,0
irritating app,0
message every hour annoying,0
server busy bug,0
worst ai chat ever deepseek monitored closely censored need ask something geographical always giving false information,0
app excellent small feedback though please try incorporate pinning chat,2
not generate image time server busy,0
app not work time show server busy please try later chatgpt far better app,0
server busy please try later thing make user experience worst work try fix issue soon possible received issue many time like almost ever third time used deepseek something,0
time server busy issue,0
explain concept easily asking something say server busy came later ask question gave answer questionso please build server large enough handle lot user,1
dark theme finally hooray want onetap text not long tap select copy text change font not like site,1
damn seever always busy going,0
fantastic local ai model want one,2
accuracy result satisfying especially think search feature quite slow frequent busy server major issue hope resolved soon,2
amazing app wish would add selfdestruct timer message app also hope add passcode lock feature app,2
slow deepseek chatgpt fast ever,1
awesomethis app solve math,2
coool bean,2
not good chat gpt take many many time parsing file not much good app,0
mindblowing,2
wrong app telling parsing failed try download photo everything good beginning day later problem started,0
app waste,0
good outcome pf time server stayed busy,2
always say server busy,0
error server always tell server busy need widget app soon possible,0
really good app interesting thing app free reliable,2
app good recommend everyone especially university student,2
best ai app ever deepseek ai please stay lethal ai free use like comparison bro way increase ai parameter b b,2
censorship actually insane,0
free goodness,2
server always busy sometimes keep repeating thing weird,0
server busy pls try time time never come use ai bro success seems scam not provide good user experience like frustration not work time response put message like chat gpt unlike saying server id busy,0
use deepthink along internet application fails case follow,0
best ai app yet give sleek detail answer question,2
love hope free forever,2
good ask question question say server busy please try overall good learning,2
deepseek not able answer taiwan country notso opinion deepseek not good ai tool,0
good experience,2
best worth one deficiency diagram chart,2
always server busybut still great app,2
hi deepseek fantastic problem not talk not voice please update enable talk like chatgpt pls,0
great application everything far good not issue,2
app new making many mistake solving accounting problem app could not help accounting,0
perfect,2
like fact app free,2
honest app star better chatgpt many way reason gave star bcoz crash lot also feel ai model able use external link like youtube provide summary video make x better chatgpt,2
useful application,2
job,1
bangladesh student like app much amazing app deepseek,2
great app need dark theme mode hurt eye,0
expected,0
longer work even updatewas good though,0
amazing yesterday complex analysis fory ad campaign data amazing chat gpt behind math stuff spose need pay,2
great,2
deepseek take time think actual answer come thinking waste time,0
wonderful app like much,2
love app much get everything wantbut wish record voice note,2
marriage celebrant happy app anyone apportioned would happen,2
good information give,2
good experience happy used deepseek app best used app never go apps love deepseek,2
fan app unexpectadly getting error chatting think bug sent mail also please check,0
best app education ai image generation,2
better chatgpt,2
server always busy not use properly sad,0
best ai app world want use forever,2
team ai bot really ability outshine chatgpt top ai case deep logical reasoning capability aspect best team deepseek aihope guy bring greatest model made till date,2
happy see discovery free,2
always server busy chatgpt better,0
super impressive app wish could add create image feature fine another tip would recommend make ai learn china stuff not fair chinese people use app not even chat anything creator country anyways superior app chatgpt fire app also pls make ai accesible watch youtube video help student summarize learnin video need thank,2
